title, imdb_rating
Robin Hood: The Rebellion,3.7/10
Robocar Poli,6.6/10
Robot Trains,6.1/10
Robotech,8.5/10
Angry Birds,6.3/10
Robozuna,6.2/10
Rocco e i suoi fratelli,8.3/10
Rock My Heart,6.5/10
Rock On!!,7.7/10
Rocko's Modern Life: Static Cling,7.0/10
Rocky,8.1/10
Rocky Handsome,6.8/10
Rocky II,7.3/10
Rocky III,6.8/10
Rocky IV,6.9/10
Angry Indian Goddesses,7.0/10
Rocky V,5.3/10
Rodney Carrington: Here Comes the Truth,4.4/10
Rodney King,5.7/10
Bronx,6.1/10
Rogue Warfare,2.8/10
Rogue Warfare: The Hunt,3.0/10
Roll Red Roll,7.1/10
Roll with Me,8.4/10
Rolling Papers,6.2/10
Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,7.6/10
Roma,7.7/10
Romance Is a Bonus Book,8.1/10
Romantik Komedi,5.3/10
Romantik Komedi 2: Bekarliga Veda,5.2/10
Romeo Akbar Walter,6.6/10
Romeo Ranjha,4.8/10
Ani... Dr. Kashinath Ghanekar,8.5/10
Romina,2.2/10
Ronnie Coleman: The King,7.0/10
Ronny Chieng: Asian Comedian Destroys America,7.4/10
Room,8.1/10
Room 2806: The Accusation,7.0/10
Room for Rent,5.4/10
Room on the Broom,7.6/10
Roonpi Secret Love,6.6/10
Anima,7.7/10
Rooting for Roona,7.1/10
Roots,8.4/10
Roped,5.4/10
Rory Scovel Tries Stand-Up for the First Time,6.7/10
Rosario Tijeras,6.3/10
Rosemary's Baby,8.0/10
Dirty Rotten Scoundrels,7.4/10
Rounders,7.3/10
Animal Crackers,7.5/10
Rowdy Rathore,5.7/10
Roxanne,6.6/10
Royal Pains,7.1/10
Rubí,8.1/10
Rudy Habibie,7.5/10
Rugal,6.4/10
Rugrats in Paris: The Movie - Rugrats II,6.2/10
Shah Rukh Khan: In Love with Germany,7.3/10
Rumble Fish,7.2/10
Animal World,6.5/10
Rumor Has It...,5.5/10
Chicken Run,7.0/10
The SpongeBob Movie: Sponge on the Run,6.0/10
Runaway Bride,5.6/10
Running for Grace,6.2/10
The Running Man,6.7/10
Am zin 2,5.8/10
Running Shaadi,6.6/10
Rurôni Kenshin - Meiji kenkaku romantan,8.5/10
Rush: Beyond the Lighted Stage,8.4/10
Ánimas,4.8/10
Russell Brand: Re:Birth,6.6/10
Russell Howard: Recalibrate,7.4/10
Russell Madness,4.2/10
Russell Peters: Almost Famous,6.6/10
Russell Peters: Notorious,7.1/10
Russian Doll,7.9/10
Rust Creek,5.9/10
Rust Valley Restorers,7.8/10
Rustom,7.1/10
Ryan Hamilton: Happy Face,7.3/10
S Is for Stanley,6.9/10
S.W.A.T.,6.0/10
Saadey CM Saab,5.4/10
Saaho,5.2/10
Hum Saath-Saath Hain: We Stand United,6.3/10
Saavat: A Hunt for Closure,6.6/10
Saawan... The Love Season,2.3/10
Anjaan,5.2/10
Sab Jholmaal Hai,6.2/10
Chilling Adventures of Sabrina,7.5/10
Sacred Games,8.6/10
Sacro Gra,6.3/10
Sad Hill Unearthed,7.4/10
Sadece Sen,7.3/10
Sadie's Last Days on Earth,5.3/10
Sadma,8.4/10
Sadqay Tumhare,7.4/10
Saeed Mirza: The Leftist Sufi,7.7/10
Anjaan: Rural Myths,6.1/10
Safe House,6.7/10
Safety Not Guaranteed,7.0/10
Sahara,6.0/10
Saheb Bibi Golaam,6.5/10
Saheb Biwi Aur Gangster Returns,6.8/10
Saint Seiya: The Hades Chapter,8.5/10
Sairat,8.3/10
Sakaling maging tayo,7.1/10
Sakhi,6.9/10
Anjaan: Special Crimes Unit,7.3/10
Salaakhen,5.4/10
Saladin,7.7/10
Salt Fat Acid Heat,7.7/10
Sam Jay: 3 in the Morning,6.4/10
Sam Kinison: Breaking the Rules,7.3/10
The Sam Kinison Family Entertainment Hour,6.8/10
Anjelah Johnson: Not Fancy,5.8/10
Sam Kinison: Live in Vegas,4.6/10
Sam Kinison: The Scream Continues,6.4/10
Samantaral,7.6/10
Samantha Who?,7.3/10
Same Kind of Different as Me,6.6/10
Sample This,6.5/10
Samson and Delilah,6.8/10
Ankhon Dekhi,8.0/10
Samurai Gourmet,8.1/10
San Pietro,6.7/10
Sanai Choughade,7.3/10
Sand Castle,6.3/10
The Sand Storm,5.7/10
Sandy Wexler,5.2/10
Sangam,7.5/10
Sanju,7.7/10
SanPa: Sins of the Savior,7.8/10
Ankur Arora Murder Case,6.5/10
Santa Banta Pvt Ltd,2.8/10
Santa Clarita Diet,7.8/10
Santa Claws,3.1/10
Santa Girl,5.0/10
Santa's Apprentice,6.4/10
Santana,3.9/10
Sara's Notebook,5.9/10
Sarah Cooper: Everything's Fine,5.6/10
Annabelle Hooper and the Ghosts of Nantucket,5.6/10
Sarah Silverman: A Speck of Dust,6.8/10
Welcome to Sarajevo,6.8/10
Sardaar Ji,6.4/10
Sardaarji 2,5.3/10
Sarivar Sari,7.2/10
Sarkar,7.0/10
Sarvopari Palakkaran,5.0/10
100 Humans,5.7/10
Anne with an E,8.7/10
Sat Shri Akaal England,5.3/10
Sat Sri Akal,5.5/10
Satrangi,7.7/10
Satrangi Re,6.9/10
Satria Heroes: Revenge of the Darkness,4.0/10
Satte Pe Satta,7.2/10
Satu Hari Nanti,6.4/10
Saturday Church,6.2/10
Satyagraha,5.9/10
Anohana: The Flower We Saw That Day,7.2/10
Savage Dog,5.0/10
Save Me,7.7/10
Save Our Shelter,7.5/10
Saverio Raimondo: Il Satiro Parlante,6.0/10
Saving Capitalism,6.8/10
Saving Mr. Banks,7.5/10
Savita Damodar Paranjpe,5.9/10
Anon,6.1/10
Before You Say 'I Do',6.0/10
Just Say When,6.4/10
Scales: Mermaids Are Real,4.3/10
Scams,6.3/10
Notes on a Scandal,7.4/10
Scare Tactics,6.7/10
Scarecrow,7.3/10
Scary Movie,6.2/10
Another Forever,5.2/10
Scary Movie 5,3.5/10
Schindler's List,8.9/10
Schitt's Creek,8.5/10
School Daze,6.0/10
Middle School: The Worst Years of My Life,6.1/10
Schubert in Love: Vater werden ist (nicht) schwer,5.1/10
Schulz Saves America,7.5/10
Scissor Seven,8.2/10
Scooby-Doo on Zombie Island,7.8/10
Scooby-Doo! Mystery Incorporated,8.0/10
Another Life,5.0/10
Scott Pilgrim vs. the World,7.5/10
Scream,7.3/10
Scream 2,6.2/10
Scream 3,5.6/10
Screwball,7.1/10
Seal Team Six: The Raid on Osama Bin Laden,5.7/10
Search Party,7.7/10
Searching for Bobby Fischer,7.4/10
Searching for Sugar Man,8.2/10
Season of the Witch,5.4/10
Sebastian Maniscalco: Stay Hungry,7.1/10
Sebastian Maniscalco: What's Wrong with People?,8.1/10
Sebastian Maniscalco: Why Would You Do That?,7.4/10
Kingsman: The Secret Service,7.7/10
A Secret Affair,6.0/10
Answer for Heaven,5.8/10
Secret City,7.4/10
Secret in Their Eyes,6.3/10
Secret Obsession,4.4/10
The Secret of My Success,6.5/10
Secret Superstar,7.8/10
Secreto bien guardado,4.8/10
Secrets in the Hot Spring,6.1/10
Secrets of Chatsworth,7.4/10
Ant-Man and the Wasp,7.0/10
Secrets of Great British Castles,7.8/10
Secrets of Henry VIII's Palace: Hampton Court,7.4/10
Secrets of Her Majesty's Secret Service,6.6/10
Secrets of Highclere Castle,8.4/10
Secrets of Scotland Yard,6.1/10
Secrets of Selfridges,7.2/10
Secrets of the Saqqara Tomb,7.2/10
Secrets of the Tower of London,7.4/10
Secrets of Underground London,6.7/10
Secrets of Westminster,7.4/10
National Security,5.6/10
See You In Time,7.0/10
See You Yesterday,5.2/10
Seeing Allred,6.9/10
Kiseijû: Sei no kakuritsu,8.3/10
Seis Manos,7.2/10
Selection Day,7.4/10
Selena: The Series,6.8/10
Self Made: Inspired by the Life of Madam C.J. Walker,7.3/10
Selfless,4.3/10
Selling Sunset,6.3/10
Semana Santa,6.0/10
Sen Kimsin?,5.0/10
Senna,8.5/10
Sense8,8.3/10
Sensitive Skin,7.2/10
Seoul Searching,7.0/10
Septembers of Shiraz,6.2/10
Sergio,6.1/10
After 100 meters turn right!,8.7/10
Anthony Bourdain: Parts Unknown,8.8/10
Confessions of a Serial Killer with Piers Morgan,3.8/10
Serious Men,6.8/10
Seriously Single,4.4/10
Servant of the People,6.9/10
Set It Up,6.5/10
Set It Off,6.9/10
Set It Up,6.5/10
Seth Meyers: Lobby Baby,7.5/10
Seth Rogen's Hilarity for Charity,5.0/10
Sethum Aayiram Pon,7.3/10
Anthony Jeselnik: Fire in the Maternity Ward,7.2/10
Settai,4.5/10
Seven in Heaven,5.3/10
Seven Pounds,7.6/10
Seven Seconds,7.7/10
Seven Sundays,7.7/10
The Edge of Seventeen,7.3/10
Anthony Jeselnik: Thoughts and Prayers,7.8/10
Seventh Son,5.5/10
Sex and the City 2,4.5/10
Sex and the City Movie Special,5.6/10
Sex Doll,4.5/10
Sex Drive,6.5/10
Sex Education,8.3/10
Sextuplets,4.4/10
Anthony Kaun Hai?,5.2/10
SGT. Will Gardner,5.9/10
Shabd,5.1/10
Jack Ryan: Shadow Recruit,6.2/10
Shadow of Truth,8.0/10
Shahanpan Dega Deva,5.0/10
Shaitan,7.2/10
Shaka Zulu,7.7/10
Antidote,7.1/10
Shanghai Noon,6.6/10
Shararat,7.5/10
Shark Night 3D,4.0/10
Silent Hill: Shattered Memories,8.1/10
Shaun the Sheep Movie,7.3/10
Shaun the Sheep: Adventures from Mossy Bottom,8.1/10
Shaurya: It Takes Courage to Make Right... Right,7.3/10
Antoine Griezmann: The Making of a Legend,6.5/10
Shawn Mendes: In Wonder,6.6/10
Shawn Mendes: Live in Concert,7.4/10
I Don't Know How She Does It,4.9/10
She Did That,6.6/10
She Made Me a Criminal,6.5/10
She-Ra and the Princesses of Power,7.9/10
She's Dating the Gangster,7.2/10
She's Gotta Have It,6.7/10
She's Out of My League,6.4/10
She's the One,6.0/10
Anwar,6.6/10
Shelby American,7.3/10
Take Shelter,7.4/10
Shepherds and Butchers,6.8/10
Sherlock,9.1/10
Sherlock Holmes,7.6/10
Shikari,6.8/10
Shimla Mirchi,4.6/10
Shimmer Lake,6.3/10
Shine On with Reese,7.7/10
Shine Your Eyes,6.5/10
Shirkers,7.4/10
Shiva Baby,7.2/10
Shonar Pahar,8.1/10
Shooter,7.2/10
Shootout at Lokhandwala,7.1/10
Shopkins Wild,5.5/10
Shopkins: Chef Club,5.1/10
Shopkins Wild,5.5/10
Shopkins World Vacation,5.2/10
Shor in the City,7.2/10
Apache Warrior,6.7/10
Shorgul,5.7/10
Short Term 12,8.0/10
Shortcut Safari,6.4/10
Shorts,4.7/10
Shot Caller,7.3/10
A Shot in the Dark,7.5/10
SHOT! The Psycho-Spiritual Mantra of Rock,6.8/10
Show Me the Money,4.8/10
Shrek the Musical,7.0/10
Shtisel,8.6/10
Shubh Aarambh,6.8/10
Shuddhi,7.9/10
Shutter Island,8.2/10
Si Doel the Movie,7.1/10
Si Doel the Movie 2,7.0/10
Si Doel the Movie 3,6.7/10
Sicilian Ghost Story,6.4/10
Sick Note,6.8/10
Sid the Science Kid,5.5/10
100 Things to Do Before High School,6.3/10
Les Apaches,5.8/10
Siddhant,6.3/10
Sierra Burgess Is a Loser,5.8/10
Sigaram Thodu,6.2/10
The Signal,6.1/10
Signs,6.7/10
Silencer,3.9/10
Silent Hill,6.5/10
Silent Hill: Revelation,5.0/10
Silicon Cowboys,6.8/10
Sillu Karuppatti,8.1/10
Apaharan,7.4/10
Silvana Sin Lana,7.5/10
Silver Linings Playbook,7.7/10
Silver Spoon Set,6.7/10
Simon Amstell: Set Free,6.4/10
Simon Killer,6.3/10
Manu Nna: Simplemente Manu NNa,5.3/10
Sin City,8.0/10
Apex: The Story of the Hypercar,7.3/10
Sinatra: All or Nothing at All,8.0/10
Sing On!,6.4/10
Sing On! Germany,5.3/10
Sing On! Spain,6.3/10
Road to Singapore,6.8/10
Singapore Social,5.0/10
Singh Saab the Great,5.6/10
Singham,6.8/10
A Single Man,7.6/10
Apollo 18,5.2/10
The Single Wives,6.8/10
Singles Villa,7.6/10
Singularity,3.8/10
Sinister 2,5.3/10
Sintonia,6.7/10
Siren,7.0/10
Sirius the Jaeger,6.8/10
Sister Cities,6.8/10
Apostle,6.3/10
Sister Code,4.7/10
Sister Act,6.4/10
Sisterakas,5.4/10
Hannah and Her Sisters,7.9/10
Sitara: Let Girls Dream,7.3/10
Six Windows in the Desert,4.2/10
Under the Skin,6.3/10
Skin Decision: Before and After,5.8/10
Skin Trade,5.6/10
Skin Wars,7.1/10
Skin Wars: Fresh Paint,6.2/10
Skins,8.2/10
Skiptrace,5.7/10
Sky Ladder: The Art of Cai Guo-Qiang,7.3/10
Sky on fire,4.6/10
Sky Tour: The Movie,8.7/10
Skydancers,8.0/10
Skylanders Academy,6.6/10
Skyline,4.4/10
Skylines,4.7/10
Aquarius,7.5/10
Slam Dunk: Suramu danku,8.7/10
Slasher,6.7/10
Sleeping with Other People,6.5/10
Sleepless Society: Insomnia,7.5/10
Sleepless Society: Nyctophobia,5.6/10
Sleepover,5.4/10
Sling Blade,8.0/10
Sliver,5.0/10
Anders Matthesen: 9 års jubilæum,7.5/10
Slow Country,4.7/10
Slow West,6.9/10
Small Crimes,5.8/10
Small Soldiers,6.2/10
Small Town Crime,6.6/10
Smart People,6.1/10
Smash: Motorized Mayhem,6.1/10
Aram,6.9/10
Smosh: The Movie,3.3/10
Sneakerheads,6.2/10
Sniper Special Ops,3.2/10
Snow Day,5.1/10
Snowden,7.3/10
Snowpiercer,7.1/10
Socha Na Tha,7.4/10
Social Animals,5.3/10
Social Distance,5.7/10
Soekarno: Indonesia Merdeka,7.0/10
Sofia the First,6.9/10
Sohni Mahiwal,6.1/10
Sol Levante,4.7/10
Captain America: The Winter Soldier,7.7/10
Solo: A Star Wars Story,6.9/10
Sólo con tu pareja,6.9/10
Solo: A Star Wars Story,6.9/10
Arashi's Diary: Voyage,7.4/10
Solomon Kane,6.1/10
Some Assembly Required,3.7/10
Some Freaks,6.3/10
Somebody Feed Phil,8.2/10
Someone Great,6.2/10
Someone Like You...,6.1/10
Something Huge,4.5/10
Archibald's Next Big Thing,7.9/10
Something's Gotta Give,6.7/10
Never Rarely Sometimes Always,7.4/10
Somewhere Between,6.2/10
Somewhere Only We Know,8.1/10
Sommore: Chandelier Status,6.6/10
Sommore: The Reign Continues,6.9/10
Son of a Gun,6.4/10
Song Exploder,7.4/10
Soni,7.2/10
Sonic X,6.2/10
Sons of Ben,7.4/10
Sons of the Caliphate,7.2/10
Soorma,7.4/10
Sotus the Series,8.0/10
Soul Eater,7.8/10
Soul Surfer,7.0/10
Soul to Keep,4.3/10
Soundtrack,6.8/10
Sour Grapes,7.2/10
Southern Survival,5.8/10
Space Cowboys,6.4/10
Space Force,6.7/10
Space Racers,7.3/10
Jeff Dunham: Spark of Insanity,8.0/10
Sparkle,5.7/10
Are We Done Yet?,4.3/10
Sparring,6.4/10
God of War: Ghost of Sparta,8.6/10
Spartacus: Blood and Sand,8.5/10
Law & Order: Special Victims Unit,8.0/10
Special Correspondents,5.8/10
Spectral,6.3/10
Spectros,4.7/10
Speed Is My Need,5.8/10
Are You the One?,6.5/10
Spenser Confidential,6.2/10
SPF-18,3.2/10
Spice Girls: Spice Up Your Life,6.0/10
Spider-Man 3,6.2/10
Spider-Man: Into the Spider-Verse,8.4/10
Spinning Out,7.6/10
Spirit Riding Free: Pony Tales,7.1/10
Spirit Riding Free: Ride Along Adventure,6.0/10
Spirit Riding Free: Riding Academy,7.1/10
Ares,5.6/10
Spirit Riding Free: Spirit of Christmas,5.9/10
Spirit Riding Free,6.6/10
Spivak,5.6/10
Splash and Bubbles,6.4/10
Splatter: Naked Blood,6.2/10
Spookley and the Christmas Kittens,3.6/10
Spookley the Square Pumpkin,4.9/10
Eternal Sunshine of the Spotless Mind,8.3/10
The Argon Quest,6.3/10
Spotlight,8.1/10
Spring Breakers,5.3/10
Springsteen on Broadway,8.5/10
Sprinter,6.2/10
Spy Kids,5.5/10
Spy Kids 3-D: Game Over,4.3/10
Spy Kids 4: All the Time in the World,3.5/10
Spy Kids: Mission Critical,4.9/10
Spy Kids 4: All the Time in the World,3.5/10
Spyder,6.6/10
St. Agatha,4.9/10
Staged Killer,3.5/10
Standoff,6.1/10
Star Trek: Of Gods and Men,6.2/10
Star Trek,7.9/10
Star Trek: Deep Space Nine,8.0/10
Star Trek: Enterprise - In a Time of War,7.4/10
Star Trek: The Next Generation,8.6/10
Ari Shaffir: Double Negative,6.8/10
Star Trek: Voyager,7.8/10
Star Wars: Episode VIII - The Last Jedi,7.0/10
Star-Crossed,7.3/10
StarBeam,6.8/10
Stardust,7.6/10
Stargate SG-1,8.4/10
Starred Up,7.4/10
Stars in the Sky: A Hunting Story,7.3/10
Start-Up,6.4/10
Starting Over Again,7.1/10
Stateless,7.5/10
Station Horizon,7.4/10
Stay Here,7.5/10
Stay Tuned,6.2/10
Steal a Pencil for Me,7.5/10
Steel Rain 2,6.2/10
Step Brothers,6.9/10
Step Outside,4.4/10
Step Sisters,5.5/10
Stephanie,5.8/10
Stereo,6.5/10
Steve Jobs,7.2/10
Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,7.1/10
Sthaniya Sambaad,7.8/10
The Day the Earth Stood Still,5.5/10
Still Game,8.8/10
Arjun: The Warrior Prince,6.8/10
Still Laugh-In: The Stars Celebrate,5.2/10
Mr. Stink,6.7/10
Stoked,6.4/10
Stolen Away,7.2/10
The Flintstones & WWE: Stone Age Smackdown,5.4/10
Stonehearst Asylum,6.8/10
Stop at Nothing: The Lance Armstrong Story,7.5/10
Storage Wars: Northern Treasures,5.6/10
Stories by Rabindranath Tagore,8.8/10
ARQ,6.4/10
StoryBots Super Songs,8.6/10
Payback: Straight Up,7.5/10
Strange But True,5.8/10
Strange Voices,6.5/10
Strange Weather,5.9/10
Stranger Things,8.7/10
Stranger Than Fiction,7.5/10
Stranger Things,8.7/10
Arrested Development,8.7/10
Rsasa taycheh,6.2/10
Stree,7.6/10
Street Flow,6.4/10
Street Food: Asia,8.0/10
Street Food: Latin America,7.9/10
Strictly Ballroom,7.2/10
Strike a Pose,7.2/10
Stripes,6.9/10
Arrow,7.5/10
Striptease,4.5/10
12 Strong,6.6/10
Strong Island,6.4/10
Strongest Deliveryman,7.3/10
Strongland,7.2/10
Struggle: The Life and Lost Art of Szukalski,8.0/10
Stuart Little,5.9/10
Stuart Little 2,5.5/10
Studio 54,7.0/10
Stunt School,4.4/10
Stunt Science,5.0/10
Styling Hollywood,6.7/10
Submission,5.5/10
Suburra,7.4/10
Suburra: Blood on Rome,7.9/10
SuckSeed,7.4/10
Arthdal Chronicles,8.4/10
Sudani from Nigeria,8.2/10
Sudden Impact,6.6/10
Suffragette,6.9/10
Sugar High,7.3/10
Sugar Rush,7.7/10
Sugar Rush Christmas,6.9/10
Suits,8.5/10
Summer Night,4.8/10
King Arthur: Legend of the Sword,6.7/10
Summertime,7.2/10
Sun Dogs,6.3/10
Sunderland 'Til I Die,8.1/10
Sunny Bunnies,6.9/10
Before Sunrise,8.1/10
Super Bheem,5.5/10
Arthur Christmas,7.1/10
Super Dark Times,6.6/10
Super Deluxe,8.4/10
Super Drags,5.6/10
Super Monsters,6.6/10
Super Monsters and the Wish Star,5.1/10
Super Monsters Back to School,5.9/10
Super Monsters Furever Friends,5.5/10
Super Monsters Monster Pets,6.1/10
Super Monsters Save Christmas,4.8/10
Article 15,8.2/10
Super Monsters Save Halloween,5.7/10
Super Monsters: Dia de los Monsters,4.7/10
Super Monsters: The New Class,5.7/10
Super Monsters: Vida's First Halloween,5.7/10
Super Nani,4.7/10
Super Wings!,6.1/10
Superbad,7.6/10
Superfly,5.1/10
Supergirl,6.2/10
Superman Returns,6.0/10
Supermarket Sweep,7.4/10
Supernatural,8.4/10
Jesus Christ Superstar,7.4/10
Sur Sapata,7.2/10
Sur: The Melody of Life,6.5/10
Surf's Up,6.7/10
Surviving Death,6.1/10
Surviving R. Kelly,7.6/10
Surviving R. Kelly Part II: The Reckoning,7.6/10
Surviving R. Kelly: The Impact,6.3/10
Lone Survivor,7.5/10
Survivors Guide To Prison,7.1/10
Susanne Bartsch: On Top,6.7/10
As Good as It Gets,7.7/10
Sustainable,7.3/10
Svaha: The Sixth Finger,6.3/10
Swearnet Live,4.6/10
Swearnet: The Movie,5.9/10
Sweeney Todd: The Demon Barber of Fleet Street,7.3/10
Sweet Magnolias,7.4/10
Ascharyachakit!,4.9/10
Sweet Virginia,6.2/10
Sweetheart,5.8/10
Swiped,3.0/10
Swiss Army Man,7.0/10
Switched at Birth,7.7/10
Sword Art Online,7.6/10
Sword Art Online Alternative: Gun Gale Online,6.9/10
Swordfish,6.5/10
Asees,7.4/10
Sylvia,6.3/10
Sym-Bionic Titan,8.1/10
Taal,6.7/10
Taare Zameen Par,8.4/10
Tabula Rasa,8.0/10
Taco Chronicles,7.9/10
Tahaan,7.1/10
Taj Mahal 1989,7.5/10
Ash vs Evil Dead,8.4/10
Take Me Home Tonight,6.3/10
Take Me Home Tonight,6.3/10
Take My Brother Away,7.0/10
Take the 10,4.8/10
Take the Ball Pass the Ball: The Making of the Greatest Team in the World,8.0/10
Take Your Pills,6.4/10
Taken,7.8/10
Takers,6.2/10
Takki,7.4/10
Talaash,7.2/10
Ashes of Love,8.4/10
Talentime,6.8/10
Tales by Light,8.3/10
Tales from the Hood 2,4.4/10
Tales of the City,7.4/10
Talking Tom and Friends,6.3/10
Tall Girl,5.2/10
Tallulah,6.7/10
Tamanchey: Pyar Mein Dil Pe Maar De Goli,4.4/10
Tamasha,7.3/10
Ask the Doctor,6.6/10
Tango & Cash,6.4/10
Tango (feroz),7.5/10
Tanu Weds Manu Returns,7.6/10
Taramani,7.5/10
Zarf Tarek,6.9/10
Hard Target,6.2/10
Tarung Sarung,6.5/10
Tarzan,7.3/10
Ask the StoryBots,8.4/10
Tarzan 2: The Legend Begins,5.6/10
Tattah,4.4/10
Jeca Tatu,6.9/10
Tau,5.8/10
Taxi Ballad,6.0/10
Taxi Driver,8.3/10
Taylor Swift: Reputation Stadium Tour,8.4/10
Taylor Tomlinson: Quarter-Life Crisis,7.4/10
Tayo the Little Bus,5.5/10
Asoka,6.5/10
Te3n,7.3/10
Teach Us All,6.9/10
Team Foxcatcher,7.3/10
Team Kaylie,4.4/10
Tears of the Sun,6.6/10
Tee Shot: Ariya Jutanugarn,6.6/10
Teefa in Trouble,7.2/10
Asperger's Are Us,6.7/10
Teen Mom 2,4.3/10
Teen Patti,4.1/10
Teenage Bounty Hunters,7.7/10
Teenage Cocktail,5.8/10
Teenage Mutant Ninja Turtles,5.8/10
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,6.0/10
Tees Maar Khan,2.6/10
Tell Me Who I Am,7.6/10
Tellur Aliens,4.3/10
Asphalt Burning,5.1/10
Indiana Jones and the Temple of Doom,7.5/10
Wet Hot American Summer: Ten Years Later,6.9/10
Tere Naal Love Ho Gaya,5.8/10
Teresa,7.8/10
Term Life,5.6/10
Terminator 3: Rise of the Machines,6.3/10
Terminator Salvation,6.5/10
Terra Nova,6.8/10
Terrace House: Aloha State,7.5/10
Assimilate,5.3/10
Terrace House: Opening New Doors,7.8/10
Terrace House: Tokyo 2019-2020,7.4/10
Terrifier,5.6/10
Terrorism Close Calls,5.2/10
Teshan,5.2/10
Tezz,3.9/10
Thaandavam,6.1/10
Thackeray,5.2/10
Thambi,6.8/10
Thank You for Smoking,7.6/10
That '70s Show,8.0/10
That Thing Called Tadhana,7.5/10
The 100,7.6/10
¡Asu Mare! 2,5.7/10
The 12th Man,5.2/10
The 2000s,8.1/10
The 24 Hour War,7.2/10
Phineas and Ferb the Movie: Across the 2nd Dimension,7.4/10
The Spirit of '43,5.4/10
The 4400,7.3/10
The 4th Company,6.2/10
The 9th Precinct,5.6/10
Asura Guru,3.3/10
The A List,5.4/10
The Accidental Spy,5.9/10
The Accountant of Auschwitz,7.3/10
The Adderall Diaries,5.1/10
The Adventure Club,5.1/10
The Adventures of Figaro Pho,7.6/10
The Adventures of Puss in Boots,6.7/10
The Adventures of Sharkboy and Lavagirl 3-D,3.6/10
Adventures of Sonic the Hedgehog,6.2/10
The Adventures of Tintin,7.3/10
The Aerial,7.4/10
The After Party,5.8/10
The Amazing Praybeyt Benjamin,4.1/10
The American Barbecue Showdown,7.2/10
The American Bible Challenge,6.4/10
College Football 150: The American Game,8.8/10
At All Costs,6.5/10
The American Meme,6.6/10
The American President,6.8/10
The Amityville Horror,6.0/10
The Andy Griffith Show,8.3/10
The Woman in Black 2: Angel of Death,4.8/10
The Angry Birds Movie 2,6.4/10
Invasion of the Animal People,3.8/10
The Apartment,8.3/10
The Apostate,4.2/10
The App,2.6/10
The App That Stole Christmas,3.6/10
The Arbitration,5.1/10
To Forget You or the Lost Art of Loving You Madly,7.9/10
The Art of the Steal,6.3/10
The Art of War,5.7/10
The Artist,7.9/10
Inside Look: The Assassination of Gianni Versace - American Crime Story,7.7/10
The Assignment,6.9/10
The Autopsy of Jane Doe,6.8/10
12 Round Gun,4.7/10
At the Dolphin Bay,7.1/10
The Awakening of Motti Wolkenbruch,6.6/10
The Baby-Sitters Club,5.8/10
The Babysitter,6.3/10
The Babysitter: Killer Queen,5.8/10
The Bachelor,5.1/10
The Bachelorette,3.4/10
The Bachelors,6.8/10
The Bad Batch,5.3/10
The Bad Education Movie,5.8/10
Atelier Fontana - Le sorelle della moda,7.0/10
The Bad Kids,7.0/10
The Ballad of Buster Scruggs,7.3/10
The Ballad of Lefty Brown,6.3/10
Raising the Bar,7.4/10
The Barrier,6.9/10
Girl in the Basement,6.4/10
The Battered Bastards of Baseball,8.0/10
The Battle of Midway,6.1/10
The Beach Loafer,4.6/10
Athlete A,7.6/10
Beauty and the Beast,8.0/10
The Beat That My Heart Skipped,7.3/10
The Beginning of Life,7.6/10
The Beginning of Life 2: Outside,7.7/10
The Big Catch,6.2/10
The Big Family Cooking Showdown,7.0/10
The Big Flower Fight,7.5/10
The Big Show Show,6.4/10
The Bill Murray Stories: Life Lessons Learned from a Mythical Man,7.1/10
The Binding,3.6/10
The Bittersweet,5.2/10
The Black Godfather,7.4/10
Keloglan vs. the Black Prince,1.6/10
The Black Room,3.3/10
The Blacklist,8.0/10
The Blazing Sun,7.4/10
The Bleeder,6.5/10
The Bleeding Edge,7.6/10
The Bling Lagosians,6.5/10
The Bling Ring,5.6/10
The Blue Elephant 2,8.2/10
ATM,4.7/10
The Blue Umbrella,7.6/10
Invasion of the Body Snatchers,7.4/10
The Body Remembers When the World Broke Open,6.9/10
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4/10
The Bomb Squad,7.9/10
The Book of Eli,6.9/10
The Borgias,7.9/10
The Boss Baby: Back in Business,6.5/10
Atomic Puppet,5.2/10
The Boss Baby: Get That Baby!,5.1/10
The Boss's Daughter,5.5/10
The Boulet Brothers' DRAGULA: Search for the World's First Drag Supermonster,7.9/10
The Bounty Hunter,5.6/10
The Box,5.6/10
The Boy in the Striped Pyjamas,7.8/10
The Boy in the Striped Pajamas: Behind the Scenes,8.6/10
The Boy Who Cried Werewolf,6.0/10
The Boy Who Harnessed the Wind,7.6/10
The Boys in the Band,6.8/10
Attack on Titan,9.0/10
The Boys in the Band: Something Personal,7.2/10
Only the Brave,7.6/10
The Brave One,6.7/10
The Brawler,8.0/10
The Breadwinner,7.7/10
The Break-Up,5.8/10
The Break with Michelle Wolf,5.3/10
The Break-Up,5.8/10
The Breaker Upperers,5.9/10
The Breakup Playlist,6.4/10
Attacking the Devil: Harold Evans and the Last Nazi War Crime,8.0/10
The Bridge on the River Kwai,8.1/10
The Bridge Curse,5.3/10
The Venture Bros.,8.5/10
